"","Name","Lon","Lat","Region","VillageBadPay","RegionBadPay"
"172","TahtayMegariaTsebri","39.07828333","14.30111667","Ahferom","2","6"
"173","Agazi","39.53878333","14.11513333","SaesiTsaedaemba","3","8"
"174","Asmena","39.61543333","14.2107","SaesiTsaedaemba","5","9"
"175","GuemseAgamet","39.59356667","14.01175","SaesiTsaedaemba","3","8"
"176","HadnetS","39.53878333","14.11513333","SaesiTsaedaemba","5","8"
"177","HadushAdi","39.583","14.127","SaesiTsaedaemba","3","9"
"178","HadushHiwet","39.56779","14.202609","SaesiTsaedaemba","3","9"
"179","Hangoda","39.53878333","14.11513333","SaesiTsaedaemba","4","8"
"180","Sendada","39.59608333","13.96051667","SaesiTsaedaemba","3","8"
"181","Sinkata","39.59356667","14.01175","SaesiTsaedaemba","3","8"
"182","Agbe","39.05526667","13.54325","TanquaAbergele","2","5"
"183","Gera","38.96085","13.43246667","TanquaAbergele","1","2"
"184","ImbaRufael","39","13.4","TanquaAbergele","1","2"
"185","Lemlem","39.04156667","13.24661667","TanquaAbergele","2","4"
"186","Mearey","38.99416667","13.19138333","TanquaAbergele","2","4"
"187","Negedebrhan","38.93058","13.3322","TanquaAbergele","0","4"
"188","Shekatekli","39.03888333","13.53678333","TanquaAbergele","2","4"
"189","SimretT","38.79772","13.49733","TanquaAbergele","2","4"
"190","Siye","38.83012","13.42072","TanquaAbergele","1","4"
"191","Tekleweyni","38.84672","13.37087","TanquaAbergele","1","4"
"192","Tseykeme","38.90783","13.45089","TanquaAbergele","1","4"
"193","Agela","37.77793","12.08913","Libo Kemkem","1","3"
"194","Agid","37.63774","12.12436","Libo Kemkem","1","3"
"195","Ameno","37.92786","12.21214","Libo Kemkem","1","3"
"196","Anigot","37.77565","12.05515","Libo Kemkem","2","3"
"197","Asta","37.79168","12.22985","Libo Kemkem","2","4"
"198","BilbWuha","37.75818","12.32109","Libo Kemkem","0","2"
"199","Birkutea","37.93442","12.10269","Libo Kemkem","3","3"
"200","Derita","37.81345","12.19167","Libo Kemkem","2","4"
"201","Estifanos","37.8684","12.07803","Libo Kemkem","3","3"
"202","Ginaza","37.73503","12.10899","Libo Kemkem","1","3"
"203","Goza","37.78897","12.2906","Libo Kemkem","1","2"
"204","kabe","37.63329","12.04253","Libo Kemkem","0","1"
"205","Keregna","37.63355","12.0875","Libo Kemkem","3","3"
"206","Libo ","37.88088","12.18526","Libo Kemkem","1","3"
"207","Martadios","37.87177","12.24637","Libo Kemkem","1","3"
"208","MendereMariam","37.68869","12.30258","Libo Kemkem","0","2"
"209","MichelDebre","37.71948","12.27402","Libo Kemkem","1","2"
"210","Mitad","37.73617","12.24157","Libo Kemkem","2","3"
"211","Shamo","37.90094","12.08534","Libo Kemkem","1","3"
"212","ShehochTehara","37.83756","12.12814","Libo Kemkem","2","3"
"213","TaraGedam","37.73193","12.1516","Libo Kemkem","3","3"
"214","Tibaga","37.67116","12.05085","Libo Kemkem","3","3"
"215","WushaTires","37.67963","12.10734","Libo Kemkem","2","3"
"216","YifagAkababi","37.71093","12.06969","Libo Kemkem","2","3"
"217","Amedwuha","39.33957","12.89367","Emba-Alaje","4","6"
"218","Ayba","39.53561","12.89097","Emba-Alaje","2","6"
"219","Seret","39.3872","13.04526","Emba-Alaje","2","5"
"220","Tekea","39.47559","12.9176","Emba-Alaje","2","6"
"221","Arena","39.15328","13.96094","Werieleke","3","5"
"222","EndaFelasi","38.985","13.91042","Werieleke","2","5"
"223","MayChekemte","39.11258","14.079","Werieleke","2","4"
"224","MayNebri","39.27922","14.08517","Werieleke","3","6"
"225","Misema","37.27195","14.1325","Werieleke","4","5"
"226","Tsae","39.12939","13.90719","Werieleke","4","7"
"227","BarkaAdiswha","39.70919","13.79387","Atsbi","1","4"
"228","FelegeWayane","39.7409","13.9071","Atsbi","3","5"
"229","Golgolemalee","39.72736","13.87282","Atsbi","3","5"
"230","Habees","39.68752","13.81053","Atsbi","3","4"
"231","RubaFelege","39.72898","13.94422","Atsbi","4","5"
"232","Bethans","38.8504","14.1509","Adwa","2","3"
"233","DebreGenetA","38.963","14.107","Adwa","2","3"
"234","EndaBagerima","38.961","14.158","Adwa","2","3"
"235","Gendebta","39.015","14.23","Adwa","1","3"
"236","Lalaylogomti","39.010145","14.12735","Adwa","3","3"
"237","MariamShewito","38.95662","14.21718","Adwa","1","3"
"238","Seloda","38.8843","14.204","Adwa","2","3"
"239","TahtayLegomti","38.9704","14.0784","Adwa","2","3"
"240","Wedikeshi","38.878","14.2475","Adwa","2","3"
"241","Woyenti","39.038132","14.205338","Adwa","1","3"
"242","Debrebirhan","39.46886","13.92454","Hawzien","2","2"
"243","Debreselam","39.33234","13.95408","Hawzien","2","2"
"244","Mozutey","39.46714","14.04165","Hawzien","1","2"
"245","Qoraro","39.25988","13.86542","Hawzien","2","2"
"246","SelamH","39.44903","13.9531","Hawzien","2","3"
"247","Erba","39.76887167","12.54425167","Raya Azebo","1","5"
"248","Wargba","39.68234333","12.75934167","Raya Azebo","4","4"
"249","Werabaye","39.62322833","12.67054333","Raya Azebo","1","4"
"250","FikreAlem","39.50667","13.20583","Hintalo Wajerat","0","4"
"251","HagereSelamW","39.47039","13.31372","Hintalo Wajerat","1","4"
"252","Hareko","39.3571371","13.183572","Hintalo Wajerat","2","3"
"253","Metkel","39.33889","13.36833","Hintalo Wajerat","1","5"
"254","Gerjale","39.651575","12.527198","Alamata","4","8"
"255","KuluGizeLemlem","39.65574","12.447477","Alamata","4","7"
"256","LaelayDayu","39.650299","12.466214","Alamata","4","8"
"257","Limaat","39.657985","12.398839","Alamata","4","7"
"258","SelamBekalsi","39.659153","12.414739","Alamata","5","7"
"259","SelenWuha","39.657374","12.358934","Alamata","4","7"
"260","Sorya","39.32907","12.34583","Alamata","3","8"
"261","Tao","39.64047","12.5179","Alamata","2","8"
"262","Tsetsera","39.4313","12.37728","Alamata","4","9"
"263","Grwre","38.92595","13.35283","Tanqua-Abergele","2","6"
"264","Hadashtekli","39.004094","13.505381","Tanqua-Abergele","3","4"
"265","Jijqe","38.85783","13.50556","Tanqua-Abergele","1","5"
"266","Limat","38.969821","13.573974","Tanqua-Abergele","2","5"
"267","HizbaTeklehymanot","39.549625","12.80528167","Endamekoni","3","4"
"268","Mekan ","39.52550166","12.74920333","Endamekoni","2","3"
"269","Meswaeti ","39.54465833","12.69882","Endamekoni","2","3"
"270","SimretS","39.50650833","12.72587333","Endamekoni","2","3"
"271","Tahtayhaya","39.56391667","12.70454167","Endamekoni","3","3"
